bin,bad_rate,n,bin_order
"(45.369, 670.67]",0.13857677902621723,534,0
"(670.67, 1094.988]",0.12172284644194757,534,1
"(1094.988, 1530.35]",0.1200750469043152,533,2
"(1530.35, 2070.35]",0.12921348314606743,534,3
"(2070.35, 2666.9]",0.09550561797752809,534,4
"(2666.9, 3487.182]",0.12195121951219512,533,5
"(3487.182, 4638.022]",0.12921348314606743,534,6
"(4638.022, 6314.734]",0.10694183864915573,533,7
"(6314.734, 9744.118]",0.10299625468164794,534,8
"(9744.118, 243909.39]",0.09925093632958802,534,9
